Taxa,Rep,Environment,Score
L117,2,DS3,6.876139987
L117,3,DS3,7.173263108
L118,1,DS1,5.518500684
L118,2,DS1,5.245919687
L118,3,DS1,5.244918038
L118,1,DS2,2.786170685
L118,2,DS2,3.161199506
L118,3,DS2,2.858293042
L118,1,DS3,6.499117381
L118,2,DS3,7.536556541
L118,3,DS3,7.39879469
L119,1,DS1,0.994055585
L119,2,DS1,1.023940743
L119,3,DS1,1.475384504
L119,1,DS2,4.021593847
L119,2,DS2,3.574051401
L119,3,DS2,3.677178008
L119,1,DS3,7.064768583
L119,2,DS3,6.504261787
L119,3,DS3,6.384707912
L12,1,DS1,5.314246046
L12,2,DS1,6.09199068
L12,3,DS1,4.459074837
L12,1,DS2,3.752251971
L12,2,DS2,4.456321018
L12,3,DS2,4.760400675
L12,1,DS3,5.19214271
L12,2,DS3,5.529063842
L12,3,DS3,5.027727923
L120,1,DS1,6.09019702
L120,2,DS1,6.747559734
L120,3,DS1,7.19293307
L120,1,DS2,5.008574917
L120,2,DS2,5.650137484
L120,3,DS2,5.427792999
L120,1,DS3,4.057446327
L120,2,DS3,3.556693176
L120,3,DS3,2.883079149
L121,1,DS1,6.370051
L121,2,DS1,6.107825251
L121,3,DS1,5.179581103
L121,1,DS2,4.832295382
L121,2,DS2,5.035289999
L121,3,DS2,5.398670043
L121,1,DS3,6.159147305
L121,2,DS3,5.691602137
L121,3,DS3,5.691201577
L122,1,DS1,0.135839664
L122,2,DS1,0.787182035
L122,3,DS1,1.518986925
L122,1,DS2,4.862691395
L122,2,DS2,5.009709311
L122,3,DS2,4.905798463
L122,1,DS3,6.195997021
L122,2,DS3,6.20779466
L122,3,DS3,6.557774336
L123,1,DS1,2.40790452
L123,2,DS1,4.072516502
L123,3,DS1,3.533009053
L123,1,DS2,4.24164492
L123,2,DS2,4.70427373
L123,3,DS2,4.991067457
L123,1,DS3,4.203611387
L123,2,DS3,4.400850185
L123,3,DS3,3.910884948
L124,1,DS1,1.747513532
L124,2,DS1,1.230370676
L124,3,DS1,1.219228533
L124,1,DS2,5.708984826
L124,2,DS2,6.287116696
L124,3,DS2,6.207995156
L124,1,DS3,6.547138845
L124,2,DS3,5.965344348
L124,3,DS3,5.285406895
L125,1,DS1,6.397901509
L125,2,DS1,5.11811243
L125,3,DS1,5.581224679
L125,1,DS2,6.936020025
L125,2,DS2,6.696338176
L125,3,DS2,6.457203199
L125,1,DS3,7.737415645
L125,2,DS3,8.152243263
L125,3,DS3,7.810619851
L126,1,DS1,1.511805667
L126,2,DS1,1.592302906
L126,3,DS1,1.284534174
L126,1,DS2,7.128424945
L126,2,DS2,7.539749443
L126,3,DS2,6.777284303
L126,1,DS3,6.262450125
L126,2,DS3,5.799573129
L126,3,DS3,6.86325474
L127,1,DS1,4.8401576
L127,2,DS1,5.600534431
L127,3,DS1,4.625451446
L127,1,DS2,6.413232314
L127,2,DS2,6.523393197
L127,3,DS2,6.225252135
L127,1,DS3,6.662055471
L127,2,DS3,6.663521461
L127,3,DS3,5.72440226
L128,1,DS1,3.346420683
L128,2,DS1,2.841821104
L128,3,DS1,3.852959072
L128,1,DS2,4.841162088
L128,2,DS2,5.193489575
L128,3,DS2,5.202119253
L128,1,DS3,4.178078989
L128,2,DS3,4.371314501
L128,3,DS3,4.316252734
L129,1,DS1,-0.072723906
L129,2,DS1,0.451122516
L129,3,DS1,1.017040542
L129,1,DS2,3.301645115
L129,2,DS2,3.698845978
L129,3,DS2,3.337151724
L129,1,DS3,4.519402915
L129,2,DS3,4.395000902
L129,3,DS3,4.383736616
L13,1,DS1,6.638633683
L13,2,DS1,5.721679118
L13,3,DS1,5.757715953
L13,1,DS2,6.510061477
L13,2,DS2,6.341026216
L13,3,DS2,6.366712965
L13,1,DS3,3.899669737
L13,2,DS3,4.055197576
L13,3,DS3,4.380075124
L130,1,DS1,2.55754061
L130,2,DS1,3.068687559
L130,3,DS1,2.094371012
L130,1,DS2,1.83262927
L130,2,DS2,2.965798423
L130,3,DS2,2.897009238
L130,1,DS3,7.206437374
L130,2,DS3,8.002451706
L130,3,DS3,7.867583544
L131,1,DS1,5.660137344
L131,2,DS1,4.169677262
L131,3,DS1,4.569782801
L131,1,DS2,6.955435456
L131,2,DS2,6.947717306
L131,3,DS2,6.703543292
L131,1,DS3,8.632937072
L131,2,DS3,8.635661518
L131,3,DS3,9.027478831
L132,1,DS1,2.868841692
L132,2,DS1,3.585550991
L132,3,DS1,2.018757231
L132,1,DS2,7.106318388
L132,2,DS2,7.009993475
L132,3,DS2,7.610705044
L132,1,DS3,6.745795014
L132,2,DS3,7.082807293
L132,3,DS3,6.576432159
L133,1,DS1,1.424551559
L133,2,DS1,1.802373157
L133,3,DS1,1.602176462
L133,1,DS2,6.656719857
L133,2,DS2,6.423441868
L133,3,DS2,5.197352446
L133,1,DS3,6.87415072
L133,2,DS3,7.414843897
L133,3,DS3,6.778738181
L134,1,DS1,6.748430247
L134,2,DS1,6.360378892
L134,3,DS1,6.07167078
L134,1,DS2,3.533748062
L134,2,DS2,4.252269284
L134,3,DS2,3.71964755
L134,1,DS3,4.02733188
L134,2,DS3,4.0065887
L134,3,DS3,3.557035805
L135,1,DS1,3.87742303
L135,2,DS1,5.370671916
L135,3,DS1,3.534405415
L135,1,DS2,7.253258724
L135,2,DS2,6.347583233
L135,3,DS2,6.418322797
L135,1,DS3,5.311489921
L135,2,DS3,4.998236379
L135,3,DS3,4.984033773
L136,1,DS1,6.273638716
L136,2,DS1,5.472989283
L136,3,DS1,6.475178901
L136,1,DS2,5.537338429
L136,2,DS2,5.366254777
L136,3,DS2,4.891924889
L136,1,DS3,6.851588243
L136,2,DS3,6.756411875
L136,3,DS3,7.121941464
L137,1,DS1,3.730282562
L137,2,DS1,4.786507635
L137,3,DS1,5.953707238
L137,1,DS2,8.960567537
L137,2,DS2,8.667772514
L137,3,DS2,9.084808918
L137,1,DS3,7.487207433
L137,2,DS3,7.752471953
L137,3,DS3,8.025329442
L138,1,DS1,4.440591263
L138,2,DS1,3.946425544
L138,3,DS1,3.729056725
L138,1,DS2,5.310042683
L138,2,DS2,4.633668735
L138,3,DS2,3.756795739
L138,1,DS3,4.788250322
L138,2,DS3,4.591733608
L138,3,DS3,4.239227061
L139,1,DS1,6.336748674
L139,2,DS1,5.837423608
L139,3,DS1,5.653187694
L139,1,DS2,4.555500664
L139,2,DS2,4.867027374
L139,3,DS2,5.357900635
L139,1,DS3,5.708860781
L139,2,DS3,5.20788251
L139,3,DS3,5.329386169
L14,1,DS1,3.665904455
L14,2,DS1,3.68551842
L14,3,DS1,3.663824062
L14,1,DS2,5.599324961
L14,2,DS2,5.13344039
L14,3,DS2,5.538304545
L14,1,DS3,6.01283224
L14,2,DS3,6.315048129
L14,3,DS3,6.028587839
L140,1,DS1,3.440254273
L140,2,DS1,3.495506416
L140,3,DS1,4.295532574
L140,1,DS2,5.8840659
L140,2,DS2,4.990580497
L140,3,DS2,5.302430677
L140,1,DS3,6.71798539
L140,2,DS3,6.826677727
L140,3,DS3,6.528196205
L141,1,DS1,9.31786754
L141,2,DS1,8.588815291
L141,3,DS1,9.777859266
L141,1,DS2,7.949561056
L141,2,DS2,6.145573111
L141,3,DS2,5.743804619
L141,1,DS3,5.86391991
L141,2,DS3,6.41089845
L141,3,DS3,5.422115922
L142,1,DS1,5.343878219
L142,2,DS1,5.351622941
L142,3,DS1,5.829957154
L142,1,DS2,3.005336364
L142,2,DS2,2.965243053
L142,3,DS2,2.63387669
L142,1,DS3,7.966587346
L142,2,DS3,7.730982723
L142,3,DS3,8.245043179
L143,1,DS1,1.963889033
L143,2,DS1,2.307065757
L143,3,DS1,3.021268823
L143,1,DS2,6.483284197
L143,2,DS2,5.572798356
L143,3,DS2,5.777716372
L143,1,DS3,6.255423444
L143,2,DS3,5.41123825
L143,3,DS3,5.295172195
L144,1,DS1,5.398112604
L144,2,DS1,5.680773502
L144,3,DS1,5.228729688
L144,1,DS2,1.810246509
L144,2,DS2,1.924191877
L144,3,DS2,2.187578276
L144,1,DS3,7.633512233
L144,2,DS3,6.961250186
L144,3,DS3,8.253929666
L145,1,DS1,2.846387974
L145,2,DS1,3.78929392
L145,3,DS1,4.444830618
L145,1,DS2,5.508648577
L145,2,DS2,4.645071905
L145,3,DS2,5.331825947
L145,1,DS3,6.621511265
L145,2,DS3,5.689271825
L145,3,DS3,6.335666313
L146,1,DS1,2.583879233
L146,2,DS1,2.82129819
L146,3,DS1,2.691089185
L146,1,DS2,4.081451514
L146,2,DS2,3.730082532
L146,3,DS2,4.059769366
L146,1,DS3,4.089281963
L146,2,DS3,4.515818773
L146,3,DS3,4.223216883
L147,1,DS1,5.329618345
L147,2,DS1,4.682029961
L147,3,DS1,5.364311712
L147,1,DS2,2.643866304
L147,2,DS2,2.813346475
L147,3,DS2,1.992264697
L147,1,DS3,7.743817234
L147,2,DS3,7.674123792
L147,3,DS3,7.574358827
L148,1,DS1,3.609610297
L148,2,DS1,3.819594723
L148,3,DS1,3.079843035
L148,1,DS2,3.417804716
L148,2,DS2,4.750255048
L148,3,DS2,3.858835766
L148,1,DS3,6.355395662
L148,2,DS3,6.279827419
L148,3,DS3,6.910392732
L149,1,DS1,1.950480117
L149,2,DS1,0.848695652
L149,3,DS1,0.624511741
L149,1,DS2,3.909234682
L149,2,DS2,3.881560247
L149,3,DS2,4.138755255
L149,1,DS3,4.99862288
L149,2,DS3,5.383297415
L149,3,DS3,5.655824118
L15,1,DS1,4.669032271
L15,2,DS1,4.345287969
L15,3,DS1,5.951796765
L15,1,DS2,5.757046565
L15,2,DS2,5.531517413
L15,3,DS2,5.537742566
L15,1,DS3,7.446970842
L15,2,DS3,7.431454808
L15,3,DS3,7.312114704
L150,1,DS1,4.033655936
L150,2,DS1,6.23869645
L150,3,DS1,5.430689727
L150,1,DS2,5.58338462
L150,2,DS2,6.815971289
L150,3,DS2,6.883486176
L150,1,DS3,4.734050424
L150,2,DS3,5.203425191
L150,3,DS3,5.30328839
L151,1,DS1,4.369047937
L151,2,DS1,4.307991584
L151,3,DS1,3.204890571
L151,1,DS2,7.141736069
L151,2,DS2,6.839808522
L151,3,DS2,7.029893696
L151,1,DS3,5.847309679
L151,2,DS3,5.282720683
L151,3,DS3,5.150644229
L152,1,DS1,6.657915308
L152,2,DS1,5.933864411
L152,3,DS1,5.867959002
L152,1,DS2,3.720141779
L152,2,DS2,3.255396805
L152,3,DS2,4.022216404
L152,1,DS3,7.910726703
L152,2,DS3,8.828236955
L152,3,DS3,8.099757852
L153,1,DS1,4.297805319
L153,2,DS1,5.765666928
L153,3,DS1,4.986079929
L153,1,DS2,2.833134555
L153,2,DS2,4.055751379
L153,3,DS2,4.117286946
L153,1,DS3,5.600648758
L153,2,DS3,5.050463116
L153,3,DS3,5.297528248
L154,1,DS1,1.299576434
L154,2,DS1,3.586408862
L154,3,DS1,2.708998284
L154,1,DS2,6.892506043
L154,2,DS2,5.882564532
L154,3,DS2,6.298445903
L154,1,DS3,7.296425386
L154,2,DS3,7.369655805
L154,3,DS3,7.668143423
L155,1,DS1,3.228873638
L155,2,DS1,2.574335314
L155,3,DS1,3.992619621
L155,1,DS2,2.904928175
L155,2,DS2,3.475201492
L155,3,DS2,2.418007921
L155,1,DS3,5.817269148
L155,2,DS3,5.294591209
L155,3,DS3,5.527181698
L156,1,DS1,4.93304257
L156,2,DS1,5.379278433
L156,3,DS1,6.089330895
L156,1,DS2,6.418058562
L156,2,DS2,6.635594075
L156,3,DS2,5.612785117
L156,1,DS3,6.172989639
L156,2,DS3,6.208779654
L156,3,DS3,5.808236542
L157,1,DS1,4.135224142
L157,2,DS1,3.674216015
L157,3,DS1,3.921487356
L157,1,DS2,3.816418523
L157,2,DS2,3.140511929
L157,3,DS2,3.347059738
L157,1,DS3,6.717617077
L157,2,DS3,6.714597436
L157,3,DS3,7.305196028
L158,1,DS1,3.278236619
L158,2,DS1,3.611376955
L158,3,DS1,3.153525602
L158,1,DS2,4.804154279
L158,2,DS2,4.745792225
L158,3,DS2,5.241528512
L158,1,DS3,4.780066082
L158,2,DS3,4.198346201
L158,3,DS3,4.918324205
L159,1,DS1,2.981724962
L159,2,DS1,2.535487094
L159,3,DS1,2.730588393
L159,1,DS2,3.490672542
L159,2,DS2,3.249652259
L159,3,DS2,3.645357083
L159,1,DS3,5.069929639
L159,2,DS3,5.081771338
L159,3,DS3,4.132383418
L16,1,DS1,4.663992112
L16,2,DS1,4.137986056
L16,3,DS1,2.697721706
L16,1,DS2,1.739091105
L16,2,DS2,1.699194871
L16,3,DS2,2.076563945
L16,1,DS3,5.098096022
L16,2,DS3,4.945508373
L16,3,DS3,5.558501956
L160,1,DS1,4.476961135
L160,2,DS1,3.948619247
L160,3,DS1,5.330401687
L160,1,DS2,3.479270229
L160,2,DS2,3.569909305
L160,3,DS2,3.660675566
L160,1,DS3,6.239535452
L160,2,DS3,6.15750238
L160,3,DS3,5.728558777
L161,1,DS1,7.226822129
L161,2,DS1,6.77005027
L161,3,DS1,8.037163738
L161,1,DS2,6.210410381
L161,2,DS2,6.203688411
L161,3,DS2,5.489910181
L161,1,DS3,5.451073244
L161,2,DS3,5.373529172
L161,3,DS3,6.333044759
L162,1,DS1,4.375282415
L162,2,DS1,6.041564561
L162,3,DS1,3.829979108
L162,1,DS2,4.423537288
L162,2,DS2,4.310877847
L162,3,DS2,3.868556791
L162,1,DS3,5.739284113
L162,2,DS3,5.24870918
L162,3,DS3,5.198133344
L163,1,DS1,4.149658412
L163,2,DS1,4.802294932
L163,3,DS1,5.062694329
L163,1,DS2,4.915919318
L163,2,DS2,5.315109947
L163,3,DS2,6.004052817
L163,1,DS3,3.178400546
L163,2,DS3,3.025907628
L163,3,DS3,3.35658096
L164,1,DS1,9.529831314
L164,2,DS1,7.502987598
L164,3,DS1,7.989888158
L164,1,DS2,6.615368023
L164,2,DS2,7.451418421
L164,3,DS2,7.227677158
L164,1,DS3,8.002259751
L164,2,DS3,7.362035671
L164,3,DS3,8.460514262
L165,1,DS1,4.051788055
L165,2,DS1,5.132759888
L165,3,DS1,4.267490004
L165,1,DS2,6.385867536
L165,2,DS2,5.247331192
L165,3,DS2,5.754101978
L165,1,DS3,7.539681587
L165,2,DS3,7.380834612
L165,3,DS3,7.276731878
L166,1,DS1,5.477575394
L166,2,DS1,5.834937314
L166,3,DS1,4.372416812
L166,1,DS2,4.901850933
L166,2,DS2,4.399815564
L166,3,DS2,4.078381192
L166,1,DS3,7.262744963
L166,2,DS3,7.350078259
L166,3,DS3,7.191839919
L167,1,DS1,1.079036394
L167,2,DS1,-0.281572886
L167,3,DS1,1.141516201
L167,1,DS2,7.60871789
L167,2,DS2,8.043778421
L167,3,DS2,7.579495816
L167,1,DS3,6.170999616
L167,2,DS3,6.073419984
L167,3,DS3,6.387039698
L168,1,DS1,3.11193968
L168,2,DS1,3.536091012
L168,3,DS1,2.936104433
L168,1,DS2,7.342922853
L168,2,DS2,6.758563281
L168,3,DS2,6.961134768
L168,1,DS3,6.392701178
L168,2,DS3,6.760121317
L168,3,DS3,5.980986586
L169,1,DS1,0.307758182
L169,2,DS1,0.984581275
L169,3,DS1,0.301208063
L169,1,DS2,5.139778713
L169,2,DS2,5.043644449
L169,3,DS2,4.67744018
L169,1,DS3,9.274194156
L169,2,DS3,8.13353568
L169,3,DS3,9.241890172
L17,1,DS1,4.196438014
L17,2,DS1,4.783495476
L17,3,DS1,4.158226243
L17,1,DS2,3.549977506
L17,2,DS2,4.244672319
L17,3,DS2,3.662369821
L17,1,DS3,8.224638006
L17,2,DS3,7.329150121
L17,3,DS3,7.700921147
L170,1,DS1,4.919694701
L170,2,DS1,5.542706253
L170,3,DS1,5.240388806
L170,1,DS2,4.624106839
L170,2,DS2,5.540539357
L170,3,DS2,4.965570742
L170,1,DS3,5.381567436
L170,2,DS3,5.322982345
L170,3,DS3,4.913699529
L171,1,DS1,6.871754728
L171,2,DS1,7.250054233
L171,3,DS1,7.764514012
L171,1,DS2,4.732369806
L171,2,DS2,3.970549198
L171,3,DS2,3.876980807
L171,1,DS3,6.318188322
L171,2,DS3,5.288633674
L171,3,DS3,5.570897988
L172,1,DS1,4.038877812
L172,2,DS1,4.429440712
L172,3,DS1,3.072392072
L172,1,DS2,4.367451969
L172,2,DS2,4.810363894
L172,3,DS2,3.885726478
L172,1,DS3,7.456012444
L172,2,DS3,7.452967474
L172,3,DS3,6.597460082
L173,1,DS1,5.079715136
L173,2,DS1,4.387301885
L173,3,DS1,5.744107859
L173,1,DS2,7.010579096
L173,2,DS2,6.574370597
L173,3,DS2,6.130069851
L173,1,DS3,4.779908021
L173,2,DS3,4.525065795
L173,3,DS3,4.705357352
L174,1,DS1,5.26735653
L174,2,DS1,4.17870909
L174,3,DS1,3.549266175
L174,1,DS2,6.158473978
L174,2,DS2,5.483440727
L174,3,DS2,6.063186639
L174,1,DS3,5.84819977
L174,2,DS3,6.471172354
L174,3,DS3,6.501091871
L175,1,DS1,3.158581924
L175,2,DS1,3.031686903
L175,3,DS1,2.832471616
L175,1,DS2,7.218100864
L175,2,DS2,7.406639078
L175,3,DS2,6.72289835
L175,1,DS3,6.837170119
L175,2,DS3,5.140957219
L175,3,DS3,5.341260631
L176,1,DS1,1.64740455
L176,2,DS1,2.02727963
L176,3,DS1,3.082593621
L176,1,DS2,5.032909991
L176,2,DS2,5.372788679
L176,3,DS2,5.335984249
L176,1,DS3,6.814015168
L176,2,DS3,6.919295419
L176,3,DS3,6.840836345
L177,1,DS1,2.222500567
L177,2,DS1,2.757091959
L177,3,DS1,2.882524262
L177,1,DS2,5.248618791
L177,2,DS2,4.720149126
L177,3,DS2,5.523252517
L177,1,DS3,5.915031791
L177,2,DS3,5.9551093
L177,3,DS3,5.143336937
L178,1,DS1,3.284871364
L178,2,DS1,2.423053103
L178,3,DS1,2.95555723
L178,1,DS2,5.31266939
L178,2,DS2,4.543853701
L178,3,DS2,5.713086716
L178,1,DS3,7.344357504
L178,2,DS3,7.581351643
L178,3,DS3,7.235581552
L179,1,DS1,2.759921721
L179,2,DS1,2.658932691
L179,3,DS1,2.952257753
L179,1,DS2,5.476016468
L179,2,DS2,6.912095773
L179,3,DS2,6.48528038
L179,1,DS3,7.092787284
L179,2,DS3,7.145630765
L179,3,DS3,6.767212875
L18,1,DS1,-0.970994325
L18,2,DS1,1.361529188
L18,3,DS1,0.73562118
L18,1,DS2,2.695327525
L18,2,DS2,3.040270947
L18,3,DS2,3.526418824
L18,1,DS3,6.49272276
L18,2,DS3,6.23221768
L18,3,DS3,7.43914012
L180,1,DS1,4.227072856
L180,2,DS1,4.755044245
L180,3,DS1,3.987731225
L180,1,DS2,7.180191254
L180,2,DS2,8.225658191
L180,3,DS2,6.347638039
L180,1,DS3,5.957726465
L180,2,DS3,6.352554055
L180,3,DS3,6.362546905
L181,1,DS1,1.066857517
L181,2,DS1,1.732696555
L181,3,DS1,1.610070386
L181,1,DS2,6.555256176
L181,2,DS2,6.299485349
L181,3,DS2,6.052392872
L181,1,DS3,7.797079698
L181,2,DS3,8.04090683
L181,3,DS3,7.919223415
L182,1,DS1,4.652145718
L182,2,DS1,4.984996519
L182,3,DS1,3.844193828
L182,1,DS2,6.326771224
L182,2,DS2,5.907476117
L182,3,DS2,6.020330601
L182,1,DS3,6.6824422
L182,2,DS3,6.947895964
L182,3,DS3,6.474967966
L183,1,DS1,7.29180563
L183,2,DS1,6.891257767
L183,3,DS1,7.332837312
L183,1,DS2,6.631240838
L183,2,DS2,7.187167778
L183,3,DS2,6.600578836
L183,1,DS3,5.02828405
L183,2,DS3,5.283178014
L183,3,DS3,4.588235407
L184,1,DS1,3.284642628
L184,2,DS1,4.160911677
L184,3,DS1,4.237108693
L184,1,DS2,4.839430648
L184,2,DS2,3.96348987
L184,3,DS2,3.494334859
L184,1,DS3,6.353609902
L184,2,DS3,6.175540255
L184,3,DS3,6.291981446
L185,1,DS1,2.859310678
L185,2,DS1,2.947047553
L185,3,DS1,3.915379902
L185,1,DS2,4.347199093
L185,2,DS2,3.231603958
L185,3,DS2,2.994082775
L185,1,DS3,5.490264904
L185,2,DS3,4.894649809
L185,3,DS3,5.550691146
L186,1,DS1,4.282594407
L186,2,DS1,4.244691136
L186,3,DS1,4.128617577
L186,1,DS2,8.76503137
L186,2,DS2,8.071858004
L186,3,DS2,9.383133077
L186,1,DS3,5.022374231
L186,2,DS3,4.483164999
L186,3,DS3,5.053192778
L187,1,DS1,5.260886312
L187,2,DS1,4.87633655
L187,3,DS1,4.580553987
L187,1,DS2,5.465654547
L187,2,DS2,5.746816086
L187,3,DS2,5.80715592
L187,1,DS3,7.41484103
L187,2,DS3,8.197758321
L187,3,DS3,7.569119463
L188,1,DS1,0.95045562
L188,2,DS1,0.292416924
L188,3,DS1,1.874583976
L188,1,DS2,3.185232661
L188,2,DS2,3.598440972
L188,3,DS2,3.459884041
L188,1,DS3,6.624520036
L188,2,DS3,7.046539354
L188,3,DS3,6.889339579
L189,1,DS1,4.048990644
L189,2,DS1,2.817924259
L189,3,DS1,3.40407662
L189,1,DS2,4.89736878
L189,2,DS2,4.860603794
L189,3,DS2,5.006819679
L189,1,DS3,6.707991891
L189,2,DS3,6.89761997
L189,3,DS3,6.608590499
L19,1,DS1,1.817612436
L19,2,DS1,1.874920012
L19,3,DS1,0.810797069
L19,1,DS2,4.390385178
L19,2,DS2,4.568372205
L19,3,DS2,4.662337298
L19,1,DS3,6.017338791
L19,2,DS3,7.31241675
L19,3,DS3,7.947996031
L190,1,DS1,4.702703642
L190,2,DS1,4.705568368
L190,3,DS1,3.449462362
L190,1,DS2,5.372729701
L190,2,DS2,5.197287125
L190,3,DS2,5.062000131
L190,1,DS3,4.43753246
L190,2,DS3,4.236656494
L190,3,DS3,4.045639682
L191,1,DS1,8.727688422
L191,2,DS1,9.643058978
L191,3,DS1,8.906044364
L191,1,DS2,5.321037804
L191,2,DS2,4.446028512
L191,3,DS2,4.331800472
L191,1,DS3,5.637575655
L191,2,DS3,5.188988355
L191,3,DS3,5.466799582
L192,1,DS1,5.606670374
L192,2,DS1,5.833204345
L192,3,DS1,5.272165181
